"","Immune.mergedColors","Immune.magenta","Immune.blue","Immune.black","Immune.red","Immune.greenyellow","Immune.pink","Immune.purple","Immune.turquoise","Immune.brown","Immune.yellow","Immune.magenta.p","Immune.blue.p","Immune.black.p","Immune.red.p","Immune.greenyellow.p","Immune.pink.p","Immune.purple.p","Immune.turquoise.p","Immune.brown.p","Immune.yellow.p"
"% CD19+ CD3- CD27+ IgG+ d0","turquoise",0.033804520617286,0.0305752709549792,0.0719063005360657,0.16389851934811,-0.0083895628693055,-0.00611399239618256,0.0649716322767563,0.215875319246422,0.0218264124512308,0.0102845131798321,0.455769469013376,0.499962437845514,0.112269244426495,0.000272944766721181,0.853190010939782,0.892725675361898,0.151407049973053,1.44686514175213e-06,0.630177450321594,0.820541203592288
"% DN RO- CCR6- INFg+ TNFa- d1","turquoise",-0.171093705106313,0.00755808994912613,-0.0352032142549087,0.124779053657003,-0.067369690361564,-0.0750530176216826,0.161861635478184,0.187540875981614,0.179420234139115,0.126896949064861,0.000143625330577576,0.867598797069986,0.437330304209665,0.00572681084202358,0.136844014389374,0.0973650124664259,0.000325805736041413,2.99783503566476e-05,6.61151844164255e-05,0.00494948184073533
"DN % RO+ CD27- d0","turquoise",-0.236044291271329,0.0798923334354707,0.0885329066904448,0.248303618441263,0.00358282154644296,0.0463303516789096,0.0712104389047375,0.187074609881166,0.0771415744935957,-0.0637375712142308,1.28355828462661e-07,0.0775658800855348,0.0503954915244412,2.63440485931445e-08,0.937012216537874,0.306569796300651,0.115795730153101,3.1400132440739e-05,0.0883750279331596,0.159345881893384
"% CD8+ RO- Va7.2- INFg+ TNFa- d6","turquoise",-0.0891182367019099,0.0269822925181415,0.177453321174533,0.0782065506807287,0.0860378422059246,0.101193563180042,0.185742850798931,0.177647038404896,0.102285569007044,0.125495081856422,0.0488866244785941,0.551676314866962,7.96671831467546e-05,0.0840547167450459,0.0572703262667051,0.025237486091524,3.58211299260746e-05,7.82244138807394e-05,0.0236959827424478,0.00545251855247878
"% CD8+ RO+ CCR6- IL4- GMCSF+ d1","turquoise",0.00191480099065466,-0.0756550618610526,0.161269443221506,0.0736475444919187,0.0961563532622734,-0.0684447379086673,0.106916240179901,0.114999837249579,0.0216586098553909,-0.0411695152073404,0.96631189793623,0.0947018331756867,0.00034288014088128,0.103814616401877,0.033517854178501,0.130676024757418,0.0180297130543519,0.010928675881988,0.632810635296011,0.363640025420936
"% CD8+ RO+ CCR6+ IL4- GMCSF+ d1","turquoise",0.0184213910360553,-0.11280960701189,0.270796826582024,0.0173386257613253,0.0773945658279582,-0.25437885796726,0.0496996761910255,0.0659191583880673,-0.036384813047612,-0.0642488711947461,0.684485073996582,0.0125536736318645,1.15050217832807e-09,0.70211833894766,0.08733288455344,1.16424575404194e-08,0.272688901499617,0.145518181775683,0.422092307737731,0.156019366802909
"% CD8+ RO+ CCR6- INFg+ TNFa- d1","turquoise",-0.243737780112428,0.14528485741526,-0.00778077949277817,0.097151556528414,-0.0111204545246851,0.0313283322762533,0.000819309849557668,-0.212408126204252,0.0016464358478997,-0.0373695246451206,4.79903185721455e-08,0.00127467657284069,0.863735251107048,0.0317192500681212,0.806232916545323,0.4894581574411,0.98558196054437,2.14544162753154e-06,0.97103114980208,0.409633749758764
"% CD8+ RO+ CD31- CD27+ d0","turquoise",0.128614041358679,0.173863824586932,0.0383182381110609,0.0346635414234261,-0.0738744663518229,0.106046221770547,-0.142182051257138,-0.237435971486563,-0.0227714207025412,-0.0539479436700903,0.00439054947142211,0.000111389399388239,0.397839339278024,0.444393653726513,0.102750961504303,0.0189937980609763,0.001620994727399,1.07696883385337e-07,0.615436329421905,0.233738531203713
"% viable CD3+ d6","turquoise",0.0414233900871713,-0.0681994546035426,-0.0572478337471433,-0.245103917883155,0.0696865684483598,-0.113007635520519,-0.0540122576238739,-0.265545660646126,-0.0279891958555413,-0.183674248036282,0.360686493881276,0.132064032463086,0.20632415660448,4.01569258503568e-08,0.123821240968437,0.0123984462007258,0.233180751771079,2.45404285171355e-09,0.536923643277736,4.38740338020354e-05
"% CD8+ RO+ CD31+ CD27+ d0","turquoise",0.15900734559723,5.39618459763531e-05,-0.123318063152294,-0.179234714650206,0.0723744104871147,0.220548084962807,0.070430941278723,-0.267057848489301,-0.0943045714704577,0.135362877204293,0.000416083842404182,0.999050339675309,0.00632527955758855,6.72939329657892e-05,0.109944847267972,8.42089692948355e-07,0.119848511005905,1.976377336305e-09,0.0370965130497421,0.00270439338592624
"% viable CD3+ of total CD3+","turquoise",0.0443063799973833,-0.0428947855233987,-0.0320736906196416,-0.268600712132553,0.0101653972033355,-0.0453370053104831,-0.0558458622824815,-0.269028402707863,-0.129186823196681,-0.137987482975127,0.32820541747762,0.343865425014831,0.479179111033332,1.5824996298863e-09,0.822585011710091,0.317067850476776,0.217672609555426,1.48756946324987e-09,0.00421719884613156,0.00222673027321448
"% CD8+ RO+ Va7.2- INFg+ TNFa- d6","turquoise",-0.210760361275215,0.0934232200271392,0.122205700876545,0.133390754437186,0.0394758532537167,0.145545622340496,-0.0969490079873565,-0.354434053711247,0.0391897208518348,-0.016402162804964,2.58128206141454e-06,0.038910602525452,0.00681794060736244,0.00312279968506571,0.383727606783778,0.00124892071660667,0.032078470717374,6.39764140421925e-16,0.387186925920966,0.717499430931916
"% CD4+ CCR7+ RO- CD31+ CXCR3- d0","turquoise",-0.0358437677527103,0.158904275291406,0.00267093566256969,0.179834051938558,0.0233564758101345,0.123893108804952,-0.215528261206547,-0.491994998799243,0.0256484811830887,-0.0717428190718805,0.429030822819543,0.000419743130185634,0.953021986999956,6.35556918247945e-05,0.60638653692357,0.00608333019395772,1.50550144923603e-06,3.58478398614478e-31,0.57151938063655,0.113090052039307
"% CD4+ M CD25- CD27+ d0","turquoise",0.241613362492338,0.225187352870151,-0.166461050427496,-0.362599762086885,0.0715397680501835,0.117451691717013,-0.225630475986461,-0.542370475673619,-0.352650746508562,0.0209977206697313,6.31812499370462e-08,4.8622433221244e-07,0.000217803834342654,1.21871635049205e-16,0.114116085613903,0.00933308746579912,4.61089144369789e-07,9.56462395934358e-39,9.13141437278046e-16,0.64322634585712
"CD8+ % RO- CD27+ d0","turquoise",0.216732794080267,0.178296099786205,0.0226272200987831,-0.113687656043942,-0.0209081281249999,-0.247130781953526,-0.515224395828593,-0.840012865915253,-0.307449055663094,-0.335320777381985,1.31123006371745e-06,7.35677671239653e-05,0.617675923499924,0.0118782277323571,0.644643792503214,3.07669381252533e-08,1.65517846089262e-34,2.05063385058648e-131,3.64317142422864e-12,2.5815795134649e-14
"% CD8+ RO- CD27+ d0","turquoise",0.201138707890644,0.237753221951914,-0.0125814633055386,-0.123760029799576,0.0333124411548599,-0.224936952557473,-0.518587909697618,-0.872723462345395,-0.295842772155252,-0.316249284465049,7.382328350517e-06,1.03457821658298e-07,0.781383011496377,0.00613857170606914,0.462358850907655,5.01004932770236e-07,5.17918200748472e-35,9.34020678747068e-154,2.46674464451218e-11,8.06714087913826e-13
"% CD8+ RO- CCR7+ d0","turquoise",0.193062914560808,0.226968800175991,0.0141955159636134,-0.0979665103328863,0.034852698716188,-0.202916005060151,-0.528950196365639,-0.892430195455005,-0.267673105421058,-0.318077608664157,1.71686616276912e-05,3.92534369053167e-07,0.75418741573107,0.0303084727155113,0.441910566099793,6.1025712040221e-06,1.32993785109636e-36,1.89713039046258e-170,1.8090521726012e-09,5.8606745265782e-13
"% CD8+ nonMAIT total INFg+ d1","purple",-0.2731927021569,-0.215579864513927,-0.0394297812885054,0.149434753665654,0.374156999432815,-0.0814647753652227,0.938269791538442,0.558848666485158,0.256724570850361,0.124590871761822,8.09861614692824e-10,1.49664102992796e-06,0.384283335724687,0.000917496991662028,1.07344735014285e-17,0.0718857907010524,1.14043140012419e-226,1.63518619329532e-41,8.44567525548619e-09,0.00580092760371754
"% CD8+ non-MAIT total INFg+ d1","purple",-0.284025822378807,-0.215079921233644,-0.0629032141376661,0.129925013409535,0.355764062398587,-0.0702223800335122,0.935448543061982,0.573051451481286,0.263222005321731,0.1350984127115,1.58569515539276e-10,1.58462760850921e-06,0.164888657936037,0.00400292282318192,4.89937560201732e-16,0.1209514344198,4.2683072393042e-222,5.02699463701353e-44,3.41349492955343e-09,0.00275736830434959
"% CD8+ nonMAIT INFg+ TNFa- d1","purple",-0.26356886037835,-0.216681733739646,-0.0348031380263092,0.140259518011067,0.36280611477293,-0.0894109128525651,0.92399419374229,0.558571769822781,0.254912507837653,0.116075800572148,3.25007915028098e-09,1.31895312258222e-06,0.442560387905341,0.00187689044336811,1.16797914091964e-16,0.048146454582376,1.91396867047942e-205,1.82536267365254e-41,1.0825569024956e-08,0.0102008947739437
"% CD8+ total INFg+ d1","purple",-0.268997961253255,-0.0829748597679919,-0.0424023879802668,0.145574364108936,0.408001303970815,0.511644270370982,0.921738267709912,0.39330944714888,0.258844507993407,0.220528308319053,1.49413922185445e-09,0.0667552602026789,0.349438085275778,0.00124611138626932,4.87415147998402e-21,5.62055373185552e-34,1.78660137510242e-202,1.53674019288367e-19,6.30153025330293e-09,8.44042192552256e-07
"% CD8+ INFg+ TNFa- d1 P13","purple",-0.258999406256865,-0.102146532315055,-0.0380738981174552,0.126697443598742,0.374762252303793,0.468397130411525,0.912216089703761,0.419465093409964,0.253525089478444,0.196712343041552,6.1674843225439e-09,0.0238876131467987,0.400857299588332,0.00501841878773544,9.42638415786885e-18,4.91070884156692e-28,7.47241997491198e-191,2.92254418607909e-22,1.30749988622387e-08,1.1774632344033e-05
"% CD8+ nonMAIT INFg+ GzA+ d1","purple",-0.268411458515287,-0.238481833678275,-0.0664610524369039,0.158871214886666,0.337582040190956,-0.113060475107121,0.894986305045554,0.601699160292113,0.237356105275466,0.0970538801744015,1.62636095549047e-09,9.43228785438533e-08,0.142229814659643,0.000420923199841215,1.68893395069193e-14,0.0123573146463878,7.52283616603634e-173,1.75353892074783e-49,1.08790166322114e-07,0.0318920478747317
"% CD8+ total INFg+ d1 P13","purple",-0.269481464486602,-0.0732028866956955,-0.066432958182519,0.108826354033584,0.311418188841989,0.578230996075452,0.882676060334397,0.382876245890518,0.261953690868192,0.249453359196975,1.3930463989689e-09,0.105924147159858,0.142398888363809,0.0160617258808521,1.8571930290795e-12,5.67954887316529e-45,8.23009508456766e-162,1.60787611951561e-18,4.08171607790693e-09,2.26086936356878e-08
"% CD8+ INFg+ GzA+ d1","purple",-0.266637374293557,-0.0831850845236413,-0.0694861808057697,0.150939387817798,0.388575565861898,0.536082487125805,0.879784359791958,0.405278714089607,0.251986712575416,0.205388291514812,2.09927654719276e-09,0.0660654612892507,0.12490802810056,0.000812691504770516,4.50573858350566e-19,9.92687840791841e-38,2.13363595531977e-159,9.36020315933598e-21,1.60985959020555e-08,4.66966700930568e-06
"% CD8+ nonMAIT INFg+ TNFa+ d1","purple",-0.24290046854248,-0.176571864229272,-0.0317741429777682,0.169572077480169,0.308198961098274,-0.027441787958225,0.725252147055992,0.384149821944615,0.183094060124044,0.126259779020699,5.3500787315621e-08,8.65545502728621e-05,0.483295918703594,0.000164872075205129,3.2101855004896e-12,0.544919431309311,5.63343255992641e-81,1.21263344995774e-18,4.6423270047321e-05,0.00517268981740503
"% CD8+ nonMAIT INFg+ GzA- d1","purple",-0.159943479911714,-0.0113648012039796,0.0962695021491155,0.0355992870858877,0.348333841177204,0.0944792199531395,0.664975982518071,0.100580826142233,0.214348137953781,0.182115175775165,0.000384182201646337,0.80206254199741,0.033309075791734,0.432187669321239,2.14067552445179e-15,0.0367456878978826,1.00662296353247e-63,0.0261397678842164,1.72240613482851e-06,5.10444052369782e-05
"% CD8+ INFg+ GzA- d1","purple",-0.119910932127367,-0.03176158640805,0.134007510454531,0.0278986284209593,0.270121158343065,0.0669665987749196,0.599486636790111,0.0894428870946187,0.140927217876259,0.171845567923623,0.00794426890512279,0.483468905880777,0.00298602265992433,0.538242458305024,1.26945860158351e-09,0.139213590772981,4.84313191159268e-49,0.0480661643375104,0.0017840981495363,0.000134102627842825
"% CD8+ INFg+ TNFa+ d1 P13","purple",-0.194396413103964,0.0273524265661336,-0.0402488144036565,0.165522483566666,0.36888297738382,0.505019202454063,0.56333476975242,0.0998446722195132,0.165729471782369,0.219487583979207,1.4970648745916e-05,0.54623027570477,0.374477290636316,0.000236662433622195,3.2927273047275e-17,5.19802774225766e-33,2.71107799376341e-42,0.0272604237827214,0.000232376650997946,9.53152515653227e-07
"%CD8+ CD161+ Va7.2- d0","purple",-0.100945676149495,-0.196785503251,0.0469181322903213,0.0647936333759147,-0.0426533879348074,-0.195524692368457,0.363587277056371,0.282812900301137,0.152258560390831,0.0398046311539852,0.0255992213129498,1.16851081992993e-05,0.300467280674882,0.152533227794429,0.346590313296654,1.33224471972089e-05,9.94039382663839e-17,1.91007527612189e-10,0.000730032468853075,0.379776079237261
"%CD8+ CD161+ Va7.2- d6","purple",-0.177447292550432,-0.060270788795169,-0.0579553636481633,-0.0313775900425004,0.056493273644664,-0.108637529447062,0.282891221257459,0.191314742884597,0.085933503450981,0.186854684619346,7.97124830519692e-05,0.183324737296728,0.200762372651212,0.488775223826157,0.212377643634272,0.0162475086040683,1.88730833230487e-10,2.05172943067536e-05,0.0575739767858391,3.20927020381864e-05
"% CD4+ RO+ d0","yellow",-0.0325722825337228,-0.0128041623336222,-0.0231084340668258,0.13566693232342,-0.0589474820190021,0.276066119970377,0.261472473279702,0.371241513094238,0.340007327985282,0.902318934125538,0.472369281720315,0.777613970266844,0.61021607519842,0.00264463481459358,0.193148354203387,5.29140303575311e-10,4.36711335025149e-09,1.99974312305345e-17,1.06730141296002e-14,4.23361175283569e-180
"% CD4+ RO+ CD27+ (TCM) d0","yellow",0.0156215685778978,0.00402515735302778,-0.0786636978518254,0.0338641856520295,-0.0493124294663628,0.318684560263177,0.224445677646035,0.273520499318043,0.193869433256722,0.884896984573898,0.730408584883073,0.929254962487576,0.0822532498435895,0.454974097481155,0.276447605527371,5.26828426319853e-13,5.31268723776517e-07,7.71672958154607e-10,1.58052360101922e-05,1.04222464788627e-163
"% CD4+ RO+ CCR7+ d0","yellow",0.0712729913306381,-0.0272184347074686,0.00117150160229027,0.0750048079104736,-0.0170336167357783,0.239547953396506,0.24027957771994,0.27886414572696,0.171791644549375,0.843850273877547,0.115475218568353,0.548198720295373,0.979385333740075,0.0975808264159268,0.707115029427239,8.23454824881305e-08,7.49903350445734e-08,3.47939382359958e-10,0.000134765347364938,9.17939193887174e-134
"% CD4+ RO+ d6","yellow",-0.0228324004251504,-0.0121098064621037,-0.0271880514328737,0.0896463689383579,-0.0707016796691804,0.237298730388273,0.287482350102122,0.382395678712766,0.374679912191958,0.841565360490458,0.614490319003095,0.789382329038088,0.548645559680251,0.0475578266607359,0.118428511394984,1.0958216805041e-07,9.28377025770644e-11,1.78791043127243e-18,9.59466331683543e-18,2.33925041468911e-132
"% CD4+ RO+/- CD27+ CD161+ INFg- d1","yellow",0.0470034199055662,0.205869947758009,0.0610935326981324,0.049613152051586,-0.129349301907697,0.202103104134533,0.00752549161247591,0.0257779093376654,0.207000857973165,0.821879138267744,0.299588551007957,4.43075096335501e-06,0.17740604234042,0.273525685317503,0.00416916489029139,6.65916577847436e-06,0.86816462790228,0.569579141130005,3.91481977712828e-06,4.24896722376413e-121
"% CD4+ RO+ CCR6+ d1","yellow",-0.11570259065371,0.128514510320744,-0.0206976938758413,0.0627594943501635,-0.0125807785464842,0.307825368175118,0.110897808441984,0.112910607833071,0.311601734852523,0.810885009374249,0.01044830978706,0.00442132056548413,0.647978141114197,0.165857849358377,0.781394608561503,3.41920235524681e-12,0.0141427244071348,0.0124742896796097,1.79977643448336e-12,2.12681601045898e-115
"% CD4+ RO+ CCR6+ d0","yellow",-0.0840953139032824,0.217195444789917,-0.0210530961665971,0.0729663280984787,0.00719734451872076,0.327406480174263,0.155025551991104,0.0292828916597843,0.165681197251147,0.797416243711549,0.0631460138259988,1.24320118630176e-06,0.642350894691677,0.107060152969755,0.873864195899413,1.10915812768685e-13,0.000581328056222237,0.518263817444237,0.0002333696543134,6.6211671585016e-109
"% CD4+ RO+ CCR6- d6","yellow",-0.0397133465971244,-0.0195004850480165,-0.0141447819663312,0.0994251874086607,-0.107598625693622,0.222969386737038,0.196718460098226,0.373679899723185,0.360219235628812,0.766692465734373,0.380870704297072,0.667080533276394,0.755037832323156,0.0279173117524253,0.0173037224904599,6.33157056295175e-07,1.17671221379972e-05,1.18900458849477e-17,1.98601357079881e-16,8.85233599629561e-96
"% CD4+ RO+ CD161+ d6","yellow",-0.0620513588162061,0.166133222275035,0.0743041839109226,0.0664859596531012,-0.0117613869537726,0.244587437842514,0.0917947310147715,0.0565406870599605,0.367473272396338,0.760098320055543,0.170695706324699,0.000224224973218604,0.100760429803815,0.142080049386179,0.795305834404716,4.296095287203e-08,0.0424604316046996,0.21199354211912,4.42750817876116e-17,3.1826153675212e-93
"% CD4+ CD161+ Va7.2- d0","yellow",0.0137878673691424,0.167802508519887,0.0927903295511479,0.168103945605475,0.00194677125013269,0.155115052978375,0.0808195424922584,0.080290869163602,0.288519845971882,0.724110363524268,0.761028842533016,0.000193279741484302,0.0402591520461344,0.000188137080381016,0.965749770041319,0.000577024366000443,0.0741740481004652,0.0760928680811541,7.89436097533431e-11,1.31827276867594e-80
"% CD4+ CD161+ Va7.2- d6","yellow",-0.0729886031010222,0.13942248947825,0.0226303821986382,0.0300971328007526,0.0332737415742431,0.211883463301535,0.108850633478117,0.0304934033652461,0.384042764439584,0.712628182857626,0.106952774856208,0.00199945259205311,0.617626774490809,0.506693260226787,0.462879310770683,2.27593569854961e-06,0.0160379731637425,0.501111534233391,1.24179401234058e-18,5.39946958123938e-77
"% CD4+ RO+ CCR6+ d6","yellow",0.020922753157416,0.0957771685086645,-0.0266668022257797,0.00464805716878114,0.0796708697522429,0.206548751324869,0.247708694242172,0.148292028800922,0.267750688506624,0.70623123472216,0.64441232123337,0.034225667827337,0.556339242327652,0.918342674717882,0.0783943802421435,4.11378363317914e-06,2.85046035199867e-08,0.00100528753235678,1.78895579585028e-09,4.66349363168956e-75
"% CD8+ RO+ CCR7+ d0","yellow",0.257592767790539,-0.0510188722162466,-0.104729317089185,-0.238662776624226,0.0338031883044943,0.0968440940382704,0.164466026661201,0.121487568048204,0.103248933619438,0.431443957317323,7.49347709060068e-09,0.260146901288633,0.0205385347548149,9.21779390559531e-08,0.455787238458227,0.0322658986618862,0.000259712482956183,0.00715398848440897,0.0224043665557429,1.37270024018847e-23
"% CD4+ N FOXP3+ d1","yellow",0.0642128989507741,0.0356751690008153,-0.019548667828062,-0.0626398487110657,-0.0611399523183043,0.0481779192024387,0.0300521002416896,0.298800333531507,0.0758572098429868,0.395427774074086,0.15625167059967,0.431206414630708,0.666307464364694,0.166667947453494,0.177076384897792,0.287661396959752,0.507329628109715,1.52744942659482e-11,0.0938207831277131,9.44269932759914e-20
"% CD4+ MAIT d6","yellow",0.0197060038841785,0.151026862676012,0.12964581860387,0.133273128598659,-0.101247278979447,0.302317130383989,0.0608617718556327,0.0500384253797444,0.164754616128902,0.382089269171815,0.663785548581555,0.000806953041350899,0.00408277872190469,0.00314952302955438,0.0251596840457657,8.57699482306727e-12,0.179058753334323,0.269429633126256,0.000253215924375038,1.91291196131654e-18
"%CD4+ MAIT d0","yellow",0.00769151867404501,0.146448668534584,0.176781751270451,0.132555578183403,-0.0655083799051906,0.179437054447943,0.0711030512774454,0.0492311883521375,0.101071211549896,0.366586976221734,0.865283494484756,0.00116338366235191,8.48654626448404e-05,0.00331709267997038,0.148049334313306,6.60092806604324e-05,0.116347597499952,0.277240597503481,0.0254154757038567,5.32954570035705e-17
"% CD4+ M total CCR6+ d0","yellow",-0.0966887386319345,0.230218228012366,0.00113585625694905,-0.0381217123165887,0.0950973522928173,0.17453912573019,0.00801886333352264,-0.253627007414592,-0.0652969164999159,0.351135699180754,0.0325451576931514,2.64454535094519e-07,0.980012444482532,0.40026564710339,0.0355265607378282,0.000104634902436485,0.85960821440906,1.28954111694486e-08,0.149365344866548,1.23323308916835e-15
