"","Immune.magenta","Immune.blue","Immune.black","Immune.red","Immune.greenyellow","Immune.pink","Immune.purple","Immune.turquoise","Immune.brown","Immune.yellow"
"SAM000208_tp1",-0.0171277966170871,-0.0225588721443094,0.0270636595106575,-0.0253995706339781,0.0283817791025441,0.0256302308580824,0.0485501468977217,-0.0083487963596636,-0.027337865300483,-0.0638993107941778
"SAM000208_tp2",0.0172025956288457,-0.04771346519116,0.0219321496535115,-0.00772009927373455,-0.00379577036620682,0.0219882821960208,0.0318075383050197,-0.0163479645841999,-0.0629327642752816,-0.0764822466385017
"SAM000204_tp1",-0.00241489227041272,-0.0221266821192691,0.0504614103699304,0.00312728203518471,0.0239055694625588,0.0254280908405832,-0.0107237663775718,-0.0118847307901347,0.00254466665329786,0.0149455758274789
"SAM000209_tp1",-0.00815093898653603,-0.0564677996694508,-0.00124155931243554,-0.0183745030705234,0.00243090552624656,-0.0492350570872034,-0.0375587698393907,0.0237133376730282,0.0301884032180251,-0.00664164216562599
"SAM000209_tp2",-0.0103739080044457,-0.0572336860350454,0.0202216972753176,-0.00942890460638835,-0.0291408509977375,-0.0497653283000571,-0.0473165956605761,0.0140446935587058,0.0261048556742745,-0.00493959316837049
"SAM000209_tp3",0.00823156463485936,-0.0467262995779045,0.023766404573261,-0.0059365546448557,-0.0123142277330455,-0.0511526683834209,-0.0466061534587204,0.0140238424007269,0.0223141977618759,-0.013587744152144
"SAM000202_tp1",-0.0695149005854873,-0.0436636517338207,0.0421246701041908,0.0336712551444065,-0.0146146109197397,0.0083728438775475,-0.0287535813438612,0.0192327097556507,-0.0199077383799656,0.0160012944283417
"SAM000202_tp2",-0.0604136920329789,-0.0417546132944124,0.0377831399961464,0.0233384592379773,-0.0205263984441743,-0.0100896404203765,-0.0280008137726349,0.0541690641055233,-0.0191122881448634,0.0288593558329632
"SAM000202_tp3",-0.0598100620947433,-0.0431106748037211,0.0173172087075217,0.0297100948698619,-0.0217860522882551,-0.00275819999356757,-0.0126950885277323,0.046924120139681,-0.00791328245252409,0.0527430304493514
"SAM000211_tp1",0.17633676597112,-0.0731853359314295,-0.0199255275487529,-0.0133979744009462,0.0352493410467966,-0.00988766157584579,-0.026920687771794,-0.0285893095921314,-0.019665691862262,-0.0251702953120589
"SAM000211_tp2",0.16750059641515,-0.0734216534857045,-0.0306136242484814,-0.00131297430762576,0.0425758549870036,-0.0310875517437669,-0.0177472347958884,-0.0234009658944472,-0.0413591620861641,-0.0497938790232581
"SAM000218_tp1",-0.0348902229764785,-0.033925359790564,0.0510737781471308,-0.000116141108699899,0.0601006615829602,-0.0208134062590789,0.0377527149326616,-0.0232691422237137,-0.0151571310323308,-0.0728603655552687
"SAM000214_tp1",-0.0547084244923846,-0.0248665722150675,0.045493350435141,0.0681057149384236,0.0579266410090384,-0.0174101369651221,-0.00653240619341264,-0.00901416947468597,0.0322447641734982,-0.00201957907351906
"SAM000214_tp2",-0.0576457801058436,-0.0322257008475968,0.0432445941650332,0.0686265057051052,0.0441465034803751,-0.00643435924420116,0.01048120292078,0.0282960190111042,0.0749836264566094,0.0494554986631523
"SAM000214_tp3",-0.0367025237746585,-0.0109521170050204,0.024189151313205,0.105569364007745,-0.0282645042931088,0.0232438582941062,-0.00972559588865538,0.029975607136081,0.022082591128296,-0.0269364768896212
"SAM000217_tp1",-0.0476633929889466,-0.0361885809664806,-0.0161935577938852,0.0383028119469184,0.00428350424193789,-0.0378178910272525,-0.0180399716332081,-0.0449614921744555,-0.020513830771649,-0.0390389520848819
"SAM000217_tp2",-0.0395030749633518,-0.016509797774741,0.0564367126993748,0.0520901291931788,-0.0342382949998615,-0.00562715072617405,-0.0168679426981835,-0.00810956593087156,0.00716020385902973,-0.0339095962852932
"SAM000217_tp3",-0.0625511941463966,-0.00837451951648006,0.107682566381193,0.0425004480639291,-0.0153272008692514,-0.0079677372988754,-0.0285733782137103,-0.0210303203935612,0.0282407986681817,-0.0288044805914821
"SAM000210_tp1",-0.00547321264217814,-0.066562740839326,-0.00914829850165385,0.0197013634525049,-0.00654158282510018,-0.0534341388489009,0.172762638067973,0.0858473768445459,0.0355158265723696,-0.0428183250169379
"SAM000210_tp2",-0.0102894283339822,-0.0705688905485517,-0.0330890844268328,0.0319623058134993,0.00608764130194719,-0.0534516369907957,0.201505382603217,0.0989834616981833,0.0184260500683054,-0.0395576434053962
"SAM000210_tp3",0.00168572098591543,-0.0636031215941678,-0.0444824666373206,0.0331757233087321,-0.0271040152457476,-0.0503132855864091,0.137518700394285,0.081012770826641,0.00218348309180563,-0.0317268983298263
"SAM000220_tp1",-0.000818425803762665,-0.0433621013247238,0.0212693955565988,0.0286140479549038,-0.0249795057807687,-0.044344892150656,0.17420377478343,0.0425914873609342,-0.0269263879815957,0.0400427952177634
"SAM000220_tp2",-0.0183148564158121,-0.0363136125793912,0.0126576073148569,0.0424742186727226,-0.0615006803440625,-0.0485100593554707,0.161794509627598,0.0779771619927496,0.0138669700443266,0.0405238253908315
"SAM000220_tp3",0.0208091077353131,-0.0377165395151948,0.0637863414285567,0.00367761708488979,-0.045235232012339,-0.0478918148720389,0.103929449093144,0.0604527809357904,0.00934795092105163,0.0484640551223363
"SAM000212_tp2",-0.0336208189740712,-0.0651988674658467,0.11648856744991,0.0115680021641073,-0.0611885099465779,-0.0634898944356765,0.00307791990942083,0.09849835616225,-0.0397765976667413,-0.0586445221872046
"SAM000212_tp3",-0.0451741081822105,-0.0477866812546398,0.162134151640306,0.03209345874858,-0.0446051155398529,-0.0547863115319979,0.0329470088329646,0.118656563642413,0.0112560149751884,-0.0114772268139279
"SAM000205_tp1",0.0230839370433088,0.0565219419460508,0.0469167603864755,0.0610603660715884,-0.0526460654429947,-0.0183664449234965,-0.0107336439592984,-0.00344777975196094,-0.0508955319700308,0.00877848339952743
"SAM000205_tp2",0.0866533333138384,-0.0470789867705545,0.0808249575325901,0.0524715021558925,-0.0734310047705462,-0.0125669385979496,-0.0212355857114701,-0.0198497535436031,-0.0588822860783074,0.0207025461598314
"SAM000216_tp1",0.0214360626503321,-0.0308622427465947,0.0637573770107536,-0.0215751183036367,-0.0257238673419909,0.0554036090800894,0.0292087801555301,-0.0130549888656483,-0.0706992658070777,0.0423893973822483
"SAM000216_tp2",0.0706859175757412,-0.0334878455801074,0.0514636876934879,-0.0251580084310392,-0.0687282209248599,0.0756785322126957,-0.00367908879794112,-0.00818966156813634,-0.0831815819422116,0.0576477943079672
"SAM000216_tp3",0.0403686370183007,-0.0294344754666344,0.0542082412872583,-0.0240731675360834,-0.0407909172451301,0.0695539359761728,0.015165497550704,-0.00223241155390439,-0.0797244945133618,0.0381827389718514
