"","Metabolome.magenta","Metabolome.red","Metabolome.yellow","Metabolome.green","Metabolome.black","Metabolome.blue","Metabolome.turquoise","Metabolome.brown","Metabolome.pink"
"SAM000203_tp1",-0.0126441254849801,-0.0624581700129645,-0.0110923533993788,-0.0395706900572688,-0.0478840068975644,-0.0386295005649805,-0.00720458511557873,-0.0671848723566099,-0.118448322914573
"SAM000269_tp1",-0.0409213682418358,0.0111779109524555,-0.0250288292117412,-0.0252101275036055,-0.031809514052206,0.0034738968792005,-0.036541482763883,-0.0264157871849963,-0.0129634969331171
"SAM000268_tp1",0.0292781273216255,0.0319777766727118,0.0140529110346865,-0.0292274175470718,-0.0253929724067336,-0.0306448357060547,0.0139946431179421,-0.00476471264005791,-0.0165693751036704
"SAM000266_tp1",-0.00882167246494571,0.0456535914830468,0.0470372080365369,0.00485296792973788,0.0246354979860484,0.110607330424067,-0.0259504405672744,-0.0260756994431029,0.00958894853845639
"SAM000257_tp1",0.0148862843983621,0.0741812855312162,0.0110386861212395,-0.0215541369129999,-0.0571635542997351,-0.0480929935858813,-0.0165516607992927,-0.0774746114868954,-0.0123112505350401
"SAM000260_tp1",-0.0281485200466102,0.08639226593627,0.00489361252302522,0.0425292355429842,0.013480862777136,0.0112417496249166,-0.0413680916487594,0.0316999677952226,-0.0396219373079729
"SAM000259_tp1",0.000835801139217021,0.00667873744924652,0.130076920520784,-0.0151914821531828,0.0166331884961823,-0.0267648813140631,-0.0344690395620364,-0.110860673321618,0.030685983534298
"SAM000253_tp1",-0.0410397681802151,0.0166328590915616,0.0217102195654265,0.11189137688022,0.0299180071954901,0.275862380388551,-0.0330336325447796,0.090247197288676,0.0718211912461668
"SAM000254_tp1",-0.0353763925260285,0.0837784877793484,-0.0311986199709938,0.0023657274211308,0.0336505258750019,0.092195673948799,-0.0355130008671322,-0.044473179501598,0.0214611055165054
"SAM000258_tp1",-0.00611103516816634,0.0464087584145086,-0.0237715903855311,0.00931037834753236,-0.0353853451259307,-0.0185379294498088,0.0619012700523471,0.0156854721291943,-0.0524173956872457
"SAM000247_tp1",-0.0103827262278407,0.0778127796350981,0.0795011637912299,0.00727557236492955,0.034894330672358,0.0716712211094845,0.0200391864014551,0.0265089244423181,0.102835451778916
"SAM000256_tp1",-0.0387860019107825,0.0523262916148261,0.000161199736367603,0.00228618671721735,0.0443269305943387,0.0409645068611833,-0.0506141727671271,-0.0438394792217108,-0.0694943904476024
"SAM000249_tp1",0.000458035367540426,-0.0100183725755962,-0.0209674098676455,-0.00960158361449551,0.030158495885145,0.0001487860767072,-0.0479506650920632,-0.0665046689745825,-0.0273612755892943
"SAM000248_tp1",-0.0364021545814305,-0.0313646498914101,-0.0139658252508333,-0.00443072467914499,0.0519731919222078,-0.0151516848092463,0.0344308699604042,0.0626689685306268,0.026844855367101
"SAM000246_tp1",-0.01859611447676,0.108574642933872,-0.0499531485435065,-0.0171577034544164,-0.0224016213801548,-0.00406778674480375,-0.0437583619110045,0.0375845876976556,0.0321018125171631
"SAM000237_tp1",-0.0353416467189856,-0.0798635976930537,0.00298755728791084,-0.0326587612417806,-0.051155361469883,-0.0597610166325872,0.0110422868445901,0.0410911797358541,0.0341476455027609
