"","kingdom","phylum","class","order","family","genus","specie.1","Specie.mergedColors","Specie.brown","Specie.yellow","Specie.green","Specie.turquoise","Specie.black","Specie.blue","Specie.red","Specie.brown.p","Specie.yellow.p","Specie.green.p","Specie.turquoise.p","Specie.black.p","Specie.blue.p","Specie.red.p"
"Veillonella_parvula","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_parvula","yellow",-0.0187873052986328,0.919579007286306,-0.040040269596466,-0.0388203427387725,-0.013144229695849,0.000633913185224372,0.023233709704522,0.681701677357508,1.18559640830257e-195,0.381908534715936,0.396591465857928,0.774161104858391,0.988959528966425,0.611990308666417
"Enterocloster_bolteae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Enterocloster","s__Enterocloster_bolteae","yellow",-0.0541966695714343,0.863517389524916,-0.0379481084471111,-0.102955456361021,0.128907378810823,0.199853417161558,0.172915000280647,0.236443467124428,6.55152161409362e-144,0.407294878788749,0.0242343221837263,0.0047177029230373,1.04756222870219e-05,0.000142823057317278
"Escherichia_coli","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","s__Escherichia_coli","yellow",0.0465360154246117,0.719569931472052,-0.0396773323053531,-0.0588193092303945,0.00227717048240022,0.0410405863045797,-0.00555476808213536,0.309448424698173,1.43990615341125e-77,0.386241685433139,0.198766843066121,0.960354954376123,0.370120365275511,0.903488796785402
"Veillonella_atypica","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_atypica","yellow",-0.0129303549313536,0.704571393958424,-0.0628602965582424,-0.0224885955435749,-0.0229574348834809,-0.0354849417383209,-0.032328524772676,0.777738753434086,4.53700820139341e-73,0.169587984442792,0.623452558985434,0.616229467572698,0.438433740004006,0.480262639338456
"Erysipelatoclostridium_ramosum","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelatoclostridium","s__Erysipelatoclostridium_ramosum","yellow",-0.04384414327023,0.546566338286411,0.089134337120706,0.00795035934111613,0.113469964229191,0.200217456564856,0.110305487407376,0.338300160272988,1.1631576354343e-38,0.0512255668595072,0.862218948701716,0.0129568441056385,1.00865440285423e-05,0.0157257031551148
"GGB9623_SGB15075","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9623","s__GGB9623_SGB15075","yellow",-0.0218783576174322,0.202202757404122,0.0205693344350501,-0.0504010875095691,0.0138673429707792,0.0303680489979393,-0.0271257519224068,0.632908343575518,8.19547444760056e-06,0.653393302737444,0.270940452825169,0.762100811792631,0.507296215778672,0.553693951549812
"Collinsella_tanakaei","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__Collinsella_tanakaei","yellow",-0.0174962950318561,0.200944816323827,0.0087149669016909,-0.046012916586544,0.0121373844781456,0.0435889455830855,-0.0121010494883565,0.702495583225247,9.34997560053031e-06,0.849119789461358,0.31492427605206,0.791043864670217,0.341122021650383,0.791655012250303
"Collinsella_aerofaciens","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__Collinsella_aerofaciens","yellow",0.0166473319279656,0.174895797359509,0.155875437818326,0.286631439539281,0.039136479206049,0.0504770290553538,0.176365773423328,0.716292735634256,0.000119341624450029,0.000618121371486891,1.64334183124125e-10,0.392754243104824,0.270218172451957,0.000104316397449312
"Neglecta_timonensis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Neglecta","s__Neglecta_timonensis","yellow",-0.0209651393362593,0.156096145789722,0.217249051099804,0.0103582531271118,0.111312425182949,0.0999798649758503,-0.00246710699281734,0.647170901998799,0.00060705310584751,1.5886512350655e-06,0.82111182851543,0.0147930937954195,0.0286744329535332,0.957051263709343
"GGB9694_SGB15201","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9694","s__GGB9694_SGB15201","yellow",-0.027011430192422,0.154191817764313,0.115805077559697,0.0106061604954727,0.0339675148090453,0.0352557516417358,-0.0347392865220198,0.555366957404051,0.000708917911602828,0.0111987612326931,0.816905272041899,0.458276964842656,0.441398884456787,0.448122449251395
"GGB9635_SGB15106","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9635","s__GGB9635_SGB15106","yellow",0.0799136485210019,0.138203304002836,0.025037533681933,-0.0400874645335251,-0.0251375812591848,-0.0446577897727837,-0.0858717032013737,0.0805989852693639,0.00243436122675181,0.58463490210967,0.381347261008974,0.583134389055216,0.329403317429298,0.0603875016333478
"Akkermansia_muciniphila","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_muciniphila","yellow",-0.0570473250747402,0.117542721158673,0.0492502557544919,-0.0226974416895345,0.024377860844396,0.0331613737273983,0.00192017495727482,0.212656230406597,0.0100310323580727,0.282047528602778,0.620230491693815,0.594573186590802,0.469019687971144,0.966566204484272
"GGB9524_SGB14923","k__Bacteria","p__Firmicutes","c__CFGB3035","o__OFGB3035","f__FGB3035","g__GGB9524","s__GGB9524_SGB14923","yellow",-0.0372194791014894,0.0723356140380275,0.0587197704180951,0.0265274824336594,0.036914234327188,0.0241418017849753,-0.0353457646600707,0.416366340429725,0.113860290919661,0.199529096604648,0.562476280211619,0.420201698924906,0.598148130458842,0.440232978881509
"Alistipes_indistinctus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_indistinctus","yellow",-0.0271035427828506,0.0632626814338852,0.0984616117105045,-0.0413339265798932,0.014312020297832,-0.00194234508223822,-0.0361335912438768,0.55401877164664,0.166867695867328,0.0311974598700443,0.366706703023776,0.754712643093308,0.96618041084479,0.430103983507775
