"","KEGG.yellow","KEGG.black","KEGG.brown","KEGG.purple","KEGG.red","KEGG.turquoise","KEGG.magenta","KEGG.blue","KEGG.green"
"SAM000201_tp1",0.023235506200176,0.00229336420933755,-0.0181678075046829,-0.03555471640818,-0.0258131061318304,-0.0129155647206432,-0.0201201623861472,-0.0199747834798608,-0.0129182614146463
"SAM000201_tp2",-0.0517509394191529,-0.023972204535085,0.0482565011706302,-0.0350912497762581,0.00218032724949022,-0.00815033304475754,-0.0179480902540013,0.0299816766665157,-0.00716389701251682
"SAM000201_tp3",0.000237812885212971,-0.0119380353295384,0.0217115923715852,-0.0340551107609762,-0.0189668545083284,-0.00928938517647643,-0.0148786208012634,0.00123100187050126,-0.0048552291480673
"SAM000201_tp4",-0.0256106821126063,-0.0264795265264046,0.0234827081898896,-0.031680236582837,0.00125116365157216,-0.00750098510104435,-0.0110549079588791,0.027724050051446,0.014130491010939
"SAM000202_tp1",0.00691575022987213,-0.0169930014971807,-0.0127201895915761,-0.0439431145681362,-0.0120440454716959,-0.0121282419016226,-0.011721087552758,0.0051529447293282,-0.0155063329167754
"SAM000202_tp2",-0.0141715094598668,-0.0200814190590569,-0.000488582312554777,-0.0447981929311999,-0.0119696700888717,-0.0118791503695787,-0.0140980243504518,0.0202651823810247,-0.0144124272919592
"SAM000202_tp3",-0.044793236728677,-0.025687634355069,0.0111108782266445,-0.0425829471523776,0.0305756119947131,-0.0108840696856306,-0.00680629285697562,0.0407641949328866,-0.0143872942604478
"SAM000202_tp4",0.0298744742032261,0.000632750631841692,-0.0191017237439541,-0.0469156525068884,-0.0199341034378642,-0.0126057367191489,-0.0221067504295915,-0.0358007835625348,-0.0168503429094284
"SAM000203_tp1",0.0406350342433532,0.0552888105676552,-0.017309692211034,0.051349094650926,-0.0275821332725981,-0.0125311900911011,-0.0235759324697279,-0.0806399733535909,-0.0157111043714712
"SAM000203_tp2",0.0245899561189843,0.0594834551859671,-0.00913490163163569,0.0639615718345065,-0.0264907263209866,-0.0117472823933696,-0.0226699426781776,-0.0790710998793525,-0.0139830481905452
"SAM000204_tp1",-0.0305629564612584,-0.0347534522503216,0.0256041016822704,0.0386079323227163,0.0107361407034327,-0.00908394178811587,-0.0145829830962414,0.0404070056343097,0.00106790461784908
"SAM000205_tp1",0.035505725110189,0.00184833473839188,-0.0281742538755975,-0.0460344504265315,-0.0252396770793919,-0.0132604365888935,-0.0220103824525119,-0.0293725056353834,-0.0161137083612869
"SAM000205_tp2",0.0236177823736838,-0.0210069122002598,-0.02370638226982,-0.0431534895955298,-0.0204844443281024,-0.0121716939388869,-0.0151350055358682,0.00918092344134941,-0.0127564852294885
"SAM000206_tp1",0.0276691948576025,0.0262261317449635,0.00927204598097942,-0.0404208742905892,-0.0196166321197758,-0.0123910059204549,-0.021691538557149,-0.0416182973223173,-0.0167146855450066
"SAM000208_tp1",0.0748564363048563,0.0352531363978231,-0.0290461238895995,0.0477362695998202,-0.0183159952628887,-0.003629977698307,-0.0214250938766053,-0.06973637861503,-0.0142060445189099
"SAM000208_tp2",0.0690669213959019,0.0451615959716297,-0.0305408101962847,0.0193915220098451,-0.00701784983927115,-0.00311584821675026,-0.0222082674312254,-0.0740905926450153,-0.0151579259553221
"SAM000209_tp1",0.0223206327206043,0.11374048129251,0.0570122172844265,-0.0426482683464917,-0.0296236406270696,-0.00417089480333756,-0.0129608535040621,-0.0692834734130343,-0.0127036686450153
"SAM000209_tp2",0.032413857312399,0.0405765737125822,-0.00799176548598972,-0.0392292294850623,-0.0220663970186441,-0.00345545467470181,-0.0164090096715236,-0.0569455015452855,-0.0161476709802165
"SAM000209_tp3",-0.0562425713642076,-0.0489543479303649,0.0313926528200471,-0.0037332577666882,-0.00167612114422968,0.00816373312352623,0.0623497416159978,0.0597516601128121,0.0155159001757233
"SAM000210_tp1",0.103425839225318,0.020704206355198,-0.0375391060806497,-0.0432449630050918,-0.00591554845284778,-0.00622561394456313,-0.00864240126197835,-0.0620322213535034,-0.0142898232220818
