Model,Mean AUC,Median AUC,Std AUC,Min AUC,Max AUC
Locked 10 Metabolites,0.8644675925925925,0.8634259259259259,0.0566797663613791,0.6666666666666666,0.9722222222222222
Locked Multi-Omics 15,0.9048896434634974,0.9074702886247876,0.0412236764992844,0.766553480475382,0.9745331069609507
