threshold,accuracy,balanced_accuracy,sensitivity,specificity,PPV,NPV,TP,TN,FP,FN
0.3,0.7710280373831776,0.7082512892639475,0.9481481481481482,0.46835443037974683,0.7529411764705882,0.8409090909090909,128,37,42,7
0.35,0.780373831775701,0.7235349273323957,0.9407407407407408,0.5063291139240507,0.7650602409638554,0.8333333333333334,127,40,39,8
0.4,0.8084112149532711,0.7693858415377403,0.9185185185185185,0.620253164556962,0.8051948051948052,0.8166666666666667,124,49,30,11
0.45,0.8037383177570093,0.7709329582747304,0.8962962962962963,0.6455696202531646,0.8120805369127517,0.7846153846153846,121,51,28,14
0.5,0.8084112149532711,0.7825128926394749,0.8814814814814815,0.6835443037974683,0.8263888888888888,0.7714285714285715,119,54,25,16
0.55,0.7897196261682243,0.772948898265354,0.837037037037037,0.7088607594936709,0.8308823529411765,0.717948717948718,113,56,23,22
0.6,0.7710280373831776,0.7660103141115799,0.7851851851851852,0.7468354430379747,0.8412698412698413,0.6704545454545454,106,59,20,29
0.65,0.7242990654205608,0.7394749179559306,0.6814814814814815,0.7974683544303798,0.8518518518518519,0.5943396226415094,92,63,16,43
0.7,0.7242990654205608,0.7447257383966245,0.6666666666666666,0.8227848101265823,0.8653846153846154,0.5909090909090909,90,65,14,45
