comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_control vs ME_CFS_like_control,immune_pct,immune_pct__% CD4+ RO+ CCR6+ IL-17- INFg+ d6,56,21,31.73184523809524,31.12857142857143,31.800000000000004,30.950000000000003,0.6032738095238095,0.08801065288710698,0.6472965836270853,1.0
canonical_control vs ME_CFS_like_control,immune_pct,immune_pct__% CD8+ INFg+ IL4- d1,56,21,31.338244047619046,28.64761904761905,29.174999999999997,28.8,2.690624999999997,0.22367137181370914,0.6472965836270853,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07287,57,21,16.30258223599069,23.033898216267335,4.11275547044541,3.95868700814705,-6.731315980276644,-0.11104685196426785,0.6476289968863105,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07715,57,21,15.135149575080975,24.06189677082251,0.3637519887721955,0.92110762627565,-8.926747195741536,-0.11195702392713848,0.6476973970757812,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K09914,57,21,6.972313385460025,9.797140924910533,0.0,0.0,-2.8248275394505074,-0.08359027119335825,0.6478089117301138,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K13301,57,21,5.15579931813071,7.904856646239255,0.0,0.3529760052328535,-2.7490573281085444,-0.10627992085618994,0.6478089117301138,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K03749,57,21,7.849479084013543,11.735688785152162,0.3402920697060505,0.0,-3.8862097011386183,-0.09950460649924434,0.6478729841424937,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K05834,57,21,8.805295905201547,13.72533885668833,0.38296609136857,0.764972998078285,-4.920042951486783,-0.11148506585454823,0.6478729841424937,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K14651,57,21,4.431824261333334,3.8263063960369985,2.33280932771442,1.5188455156538,0.6055178652963358,0.12191567183661475,0.6480460501664931,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00675,57,21,21.598388499766518,24.506898987114575,16.818506958344386,14.183910565708375,-2.9085104873480567,-0.06752749489001493,0.6482029557687115,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02688,57,21,24.087980625698503,40.28087110948483,9.982130507370364,10.0790492614177,-16.192890483786325,-0.18589763159110562,0.6482029557687115,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K05396,57,21,22.726466700761446,30.1254336269665,9.5577463196814,7.9173740162941,-7.3989669262050555,-0.12374657909195541,0.6482029557687115,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K19954,57,21,14.684043731960886,15.948989967474263,12.207776075760163,11.9804647562416,-1.2649462355133778,-0.10617833898856494,0.6482216247260298,1.0
canonical_control vs ME_CFS_like_control,species,species__Candidatus_Gastranaerophilales_bacterium,57,21,0.004971402336538096,0.0009943761769458427,0.0,0.0,0.003977026159592253,0.2532257139994063,0.6490656978560199,1.0
