mean_predicted_probability,observed_fraction_ME_CFS,absolute_error
0.02984391692281534,0.045454545454545456,0.015610628531730116
0.18890808561804714,0.23809523809523808,0.04918715247719094
0.3735134813877045,0.38095238095238093,0.0074388995646764156
0.522825542413485,0.5909090909090909,0.06808354849560594
0.6213309587706348,0.8095238095238095,0.1881928507531747
0.7515511547193673,0.6666666666666666,0.08488448805270066
0.8366099204815659,0.9090909090909091,0.07248098860934316
0.9051028887311497,0.7619047619047619,0.14319812682638788
0.953509424161705,0.9523809523809523,0.0011284717807527045
0.9870371085414934,0.9545454545454546,0.032491653996038816
