comparison,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q,modality
canonical_ME_CFS vs canonical_control,metabolomic_ME_CFS_score,121,58,0.8415832607485259,0.1964029207092441,0.8877253918961108,0.1902171788563523,0.6451803400392817,4.405225031934705,2.968806403379043e-27,2.968806403379043e-27,metabolomic_ME_CFS_score
canonical_ME_CFS vs control_like_ME_CFS,metabolomic_ME_CFS_score,121,14,0.8415832607485259,0.37521437279847136,0.8877253918961108,0.414734649398586,0.4663688879500545,3.5182551150022205,1.4344748816951257e-09,1.4344748816951257e-09,metabolomic_ME_CFS_score
canonical_control vs ME_CFS_like_control,metabolomic_ME_CFS_score,58,21,0.1964029207092441,0.7482255116992892,0.1902171788563523,0.7814592921257462,-0.5518225909900452,-3.9883549701800343,1.4503930069163607e-11,1.4503930069163607e-11,metabolomic_ME_CFS_score
control_like_ME_CFS vs ME_CFS_like_control,metabolomic_ME_CFS_score,14,21,0.37521437279847136,0.7482255116992892,0.414734649398586,0.7814592921257462,-0.37301113890081783,-3.0191264134258873,1.8927291928347695e-06,1.8927291928347695e-06,metabolomic_ME_CFS_score
